ANATOMY_ID,Previous Anatomy ID,Current Anatomy ID,Body part,Organ,Sub-organ,Tissue 1,Tissue 2,Tissue 3,Tissue 4,Tissue 5-1,Tissue 5-2,Tissue 5-3,Tissue 5-4
1000000000000000000000,1000000,1000000000000000000000,Head,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000001000000000000000,1000100|1000101,1000001000000000000000,Head,NA,NA,Adipose tissue,NA,NA,NA,NA,NA,NA,NA
1000001000100000000000,1000102,1000001000100000000000,Head,NA,NA,Adipose tissue,NA,Subcutaneous adipose tissue,NA,NA,NA,NA,NA
1000001000200000000000,1000103,1000001000200000000000,Head,NA,NA,Adipose tissue,NA,Intra-abdominal adipose tissue,NA,NA,NA,NA,NA
1000001000201000000000,1000104,1000001000201000000000,Head,NA,NA,Adipose tissue,NA,Intra-abdominal adipose tissue,Omental,NA,NA,NA,NA
1000001000202000000000,1000105,1000001000202000000000,Head,NA,NA,Adipose tissue,NA,Intra-abdominal adipose tissue,Retroperitoneal,NA,NA,NA,NA
1000001000203000000000,1000106,1000001000203000000000,Head,NA,NA,Adipose tissue,NA,Intra-abdominal adipose tissue,Visceral,NA,NA,NA,NA
1000001010000000000000,1000200,1000001010000000000000,Head,NA,NA,Adipose tissue,Calvarial,NA,NA,NA,NA,NA,NA
1000001010100000000000,1000201,1000001010100000000000,Head,NA,NA,Adipose tissue,Calvarial,Subcutaneous adipose tissue,NA,NA,NA,NA,NA
1000001010101000000000,1000202,1000001010101000000000,Head,NA,NA,Adipose tissue,Calvarial,Subcutaneous adipose tissue,White adipose tissue,NA,NA,NA,NA
1000001020000000000000,1000300,1000001020000000000000,Head,NA,NA,Adipose tissue,Facial,NA,NA,NA,NA,NA,NA
1000001020100000000000,1000301,1000001020100000000000,Head,NA,NA,Adipose tissue,Facial,Subcutaneous adipose tissue,NA,NA,NA,NA,NA
1000001020101000000000,1000302,1000001020101000000000,Head,NA,NA,Adipose tissue,Facial,Subcutaneous adipose tissue,White adipose tissue,NA,NA,NA,NA
1000001030000000000000,1000400,1000001030000000000000,Head,NA,NA,Adipose tissue,Cranial,NA,NA,NA,NA,NA,NA
1000001030100000000000,1000401,1000001030100000000000,Head,NA,NA,Adipose tissue,Cranial,Subcutaneous adipose tissue,NA,NA,NA,NA,NA
1000001030101000000000,1000402,1000001030101000000000,Head,NA,NA,Adipose tissue,Cranial,Subcutaneous adipose tissue,White adipose tissue,NA,NA,NA,NA
1000001040000000000000,1000500,1000001040000000000000,Head,NA,NA,Adipose tissue,White adipose tissue,NA,NA,NA,NA,NA,NA
1000001040100000000000,1000501,1000001040100000000000,Head,NA,NA,Adipose tissue,White adipose tissue,Subcutaneous adipose tissue,NA,NA,NA,NA,NA
