UNIQUE_CELL_ID,UNIQUE_CELL_NAME,TYPE,ORGAN,ANATOMY_ID,CELL_TYPE_ID,CPID,Germ Layer,Differentiation State,Source Age,Raw Anatomy Id,Raw Cell Type Id,Body Part,Sub-organ,Tissue 1,Tissue 2,Tissue 3,Tissue 4,Tissue 5-1,Tissue 5-2,Tissue 5-3,Tissue 5-4,Cell Type,Synonym,CL Id,UBERON Id,Image Id,Tissue Image ID
1,B_CELL,B cell,Blood,8010000000000000000000,1,1,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,1,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,B cell,NA,CL:0000236,NA,40,NA
2,MEMORY_B_CELL,Memory B cell,Blood,8010000000000000000000,27,2,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,27,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Memory B cell,NA,CL:0000787,NA,NA,NA
3,ACTIVATED_B_CELL,Activated B cell,Blood,8010000000000000000000,286,3,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,286,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Activated B cell,NA,NA,NA,NA,NA
4,NAIVE_B_CELL,Naive B cell,Blood,8010000000000000000000,287,4,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,287,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Naive B cell,NA,CL:0000788,NA,NA,NA
5,BASOPHIL,Basophil,Blood,8010000000000000000000,2,5,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,2,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Basophil,NA,CL:0000767,NA,403,NA
6,EOSINOPHIL,Eosinophil,Blood,8010000000000000000000,3,6,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,3,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eosinophil,NA,CL:0000771,NA,58   79   436   437   453   511   526   541   548   554   558   568   597   598   607   646   656   657   661   662   694,NA
7,LEUKOCYTE,Leukocyte,Blood,8010000000000000000000,4,7,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,4,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Leukocyte,NA,CL:0000738,NA,NA,NA
8,LYMPHOCYTE,Lymphocyte,Blood,8010000000000000000000,5,8,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,5,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lymphocyte,NA,CL:0000542,NA,37   53   78   157   158   159   160   161   402   414   426   456   457   499   509   510   517   527   533   599   600   601,NA
9,MACROPHAGE,Macrophage,Blood,8010000000000000000000,6,9,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,6,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Macrophage,NA,CL:0000235,NA,51   137   171   311   312   313   625   626   627   659   660,NA
10,M1_MACROPHAGE,M1 macrophage,Blood,8010000000000000000000,7,10,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,7,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,M1 macrophage,NA,CL:0000863,NA,NA,NA
11,M2_MACROPHAGE,M2 macrophage,Blood,8010000000000000000000,8,11,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,8,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,M2 macrophage,NA,CL:0000890,NA,NA,NA
12,MAST_CELL,Mast cell,Blood,8010000000000000000000,10,12,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,10,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mast cell,NA,CL:0000097,NA,32   488   489,NA
13,MONOCYTE,Monocyte,Blood,8010000000000000000000,11,13,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,11,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Monocyte,NA,CL:0000576,NA,NA,NA
14,CD16+_MONOCYTE,CD16+ monocyte,Blood,8010000000000000000000,288,14,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,288,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,CD16+ monocyte,NA,CL:0002397,NA,NA,NA
15,NEUTROPHIL,Neutrophil,Blood,8010000000000000000000,12,15,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,12,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Neutrophil,NA,CL:0000775,NA,31   60   980   981,NA
16,PLASMA_CELL,Plasma cell,Blood,8010000000000000000000,13,16,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,13,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Plasma cell,NA,CL:0000786,NA,6   17   20   52   67   74   80   174   410   420   421   431   432   438   439   454   455   480   521   522   530   534   538   547   549   551   557   562   565   566   570   587   590   596   603   608   609   610   621   622   623   628,NA
17,RED_BLOOD_CELL_(ERYTHROCYTE),Red blood cell (erythrocyte),Blood,8010000000000000000000,14,17,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,14,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Red blood cell (erythrocyte),NA,CL:0000232,NA,56   571   584   982   983   984   985,NA
18,T_CELL,T cell,Blood,8010000000000000000000,15,18,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,15,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,T cell,NA,CL:0000084,NA,NA,NA
19,ACTIVATED_CD4+_T_CELL,Activated CD4+ T cell,Blood,8010000000000000000000,283,19,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,283,Immune system class,NA,NA,NA,NA,NA,NA,NA,NA,NA,Activated CD4+ T cell,NA,CL:0000896,NA,NA,NA
