No.,Germ Layer,Differentiation State,Source Age,Anatomy Id,Cell Type Id,Body Part,Organ,Sub-organ,Tissue 1,Tissue 2,Tissue 3,Tissue 4,Tissue 5-1,Tissue 5-2,Tissue 5-3,Tissue 5-4,Cell Type,Synonym,CL Id,UBERON Id,Image Id,Tissue Image ID
1,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,1,Immune system class,Blood,,,,,,,,,,B cell,,CL:0000236,,40,
2,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,27,Immune system class,Blood,,,,,,,,,,Memory B cell,,CL:0000787,,,
3,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,286,Immune system class,Blood,,,,,,,,,,Activated B cell,,,,,
4,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,287,Immune system class,Blood,,,,,,,,,,Naive B cell,,CL:0000788,,,
5,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,2,Immune system class,Blood,,,,,,,,,,Basophil,,CL:0000767,,403,
6,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,3,Immune system class,Blood,,,,,,,,,,Eosinophil,,CL:0000771,,58   79   436   437   453   511   526   541   548   554   558   568   597   598   607   646   656   657   661   662   694,
7,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,4,Immune system class,Blood,,,,,,,,,,Leukocyte,,CL:0000738,,,
8,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,5,Immune system class,Blood,,,,,,,,,,Lymphocyte,,CL:0000542,,37   53   78   157   158   159   160   161   402   414   426   456   457   499   509   510   517   527   533   599   600   601,
9,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,6,Immune system class,Blood,,,,,,,,,,Macrophage,,CL:0000235,,51   137   171   311   312   313   625   626   627   659   660,
10,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,7,Immune system class,Blood,,,,,,,,,,M1 macrophage,,CL:0000863,,,
11,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,8,Immune system class,Blood,,,,,,,,,,M2 macrophage,,CL:0000890,,,
12,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,10,Immune system class,Blood,,,,,,,,,,Mast cell,,CL:0000097,,32   488   489,
13,4 Mesodermal,4 Terminally differentiated,6 Fetus state 7 Postnatal state 8 Neonatal state 9 Infant state 10 Juvenile 11 Adult,8010000000000000000000,11,Immune system class,Blood,,,,,,,,,,Monocyte,,CL:0000576,,,
